Word,Time,POS
strange,41.46959865416967,N
man,41.46983898101418,N
came,41.47007930785869,VD
told,41.47128094208123,VD
hes,41.471761595770246,V
pal,41.483056957462146,N
malignant,41.48425859168469,ADJ
manner,41.4844989185292,N
ever,41.484979572218215,ADV
saw,41.48521989906273,VD
wonder,41.485700552751744,V
pal,41.48642153328527,ADJ
like,41.487142513818796,P
think,41.48762316750781,V
pal,41.48858447488585,ADJ
humble,41.4900264359529,ADJ
sincerity,41.490266762797404,N
certainly,41.49098774333093,ADV
theyve,41.49194905070897,V
number,41.49267003124249,N
theyve,41.49315068493151,V
surveillance,41.49411199230954,N
theyve,41.49459264599856,V
right,41.49531362653208,ADV
want,41.49603460706561,V
told,41.49723624128815,VD
interrogation,41.498197548666184,N
think,41.49915885604422,V
meant,41.50012016342225,VD
decided,41.50060081711127,VN
think,41.50108147080029,V
must,41.501562124489304,MOD
someone,41.50204277817832,VN
like,41.50228310502283,P
know,41.50348473924537,V
someone,41.503725066089885,N
killed,41.50444604662341,VN
war,41.505167027156936,N
like,41.50540735400144,P
kid,41.506368661379476,VD
sampson,41.50660898822399,N
emitted,41.50757029560202,VD
startled,41.50805094929103,VN
gasp,41.508291276135544,N
shook,41.50877192982456,N
head,41.50925258351358,N
realized,41.5099735640471,VD
exclaimed,41.51069454458063,VD
theyve,41.510934871425135,V
pals,41.51189617880317,N
havent,41.51213650564768,N
ones,41.513097813025716,N
left,41.51333813987022,VN
killed,41.51934631098294,VN
god,41.519586637827445,N
mission,41.52054794520548,N
died,41.521028598894496,VD
sleep,41.521749579428025,N
dream,41.52271088680606,N
found,41.52319154049508,VD
cat,41.52367219418409,N
face,41.524393174717616,N
poor,41.52463350156212,N
bastard,41.52487382840663,N
began,41.52583513578467,VD
cry,41.526315789473685,N
hiding,41.52655611631819,VG
tears,41.52703677000721,N
crook,41.52775775054074,N
shoulder,41.52847873107426,N
left,41.52919971160779,VD
without,41.52944003845229,P
saying,41.529680365296805,VG
goodbye,41.52992069214131,N
ate,41.53040134583033,N
something,41.53064167267484,N
went,41.53112232636386,VD
sleep,41.531602980052874,V
hand,41.53208363374189,N
shook,41.532323960586396,N
awake,41.53280461427541,V
middle,41.53352559480894,N
night,41.534246575342465,N
opened,41.53472722903148,VD
eyes,41.5352078827205,N
saw,41.535688536409516,VD
thin,41.53616919009853,ADJ
patients,41.53737082432108,N
bathrobe,41.537611151165585,V
pajamas,41.5380918048546,N
looked,41.53857245854362,VN
nasty,41.53977409276616,N
smirk,41.54001441961067,N
jeered,41.54049507329969,VD
weve,41.54073540014419,ADJ
pal,41.54145638067772,N
buddy,41.54169670752223,N
weve,41.54193703436674,N
pal,41.54265801490026,N
unnerved,41.54337899543379,VN
hell,41.54409997596731,N
talking,41.54482095650084,VG
pleaded,41.545541937034365,VD
incipient,41.54602259072338,N
panic,41.546262917567894,N
youll,41.5465032444124,N
find,41.54674357125691,N
buddy,41.54722422494593,N
youll,41.54746455179043,N
find,41.547704878634946,N
lunged,41.54842585916847,ADJ
tormentors,41.549146839702,N
throat,41.5493871665465,P
one,41.54986782023552,NUM
hand,41.55010814708003,N
man,41.550829127613554,N
glided,41.551069454458066,VD
reach,41.55179043499159,N
effortlessly,41.5520307618361,ADV
vanished,41.55251141552512,VD
corridor,41.55323239605864,N
malicious,41.55395337659216,ADJ
laugh,41.554193703436674,N
lay,41.55467435712569,N
trembling,41.55515501081471,VG
pounding,41.55587599134823,N
pulse,41.55611631819274,N
bathed,41.556837298726265,VN
icy,41.55731795241528,N
sweat,41.557558279259794,N
wondered,41.55803893294881,VD
pal,41.558759913482334,ADJ
dark,41.55972122086037,ADJ
hospital,41.5604422013939,N
kid,41.57606344628695,VD
badly,41.576784426820474,ADV
wounded,41.577024753664986,VN
freezing,41.577505407354,N
death,41.57798606104302,N
puddle,41.57870704157654,N
harsh,41.57918769526556,ADJ
yellow,41.57942802211007,N
sunlight,41.57966834895458,N
splashing,41.57990867579909,VG
face,41.58062965633261,N
side,41.58135063686614,N
gunport,41.581590963710646,N
crawled,41.582311944244175,VN
rear,41.5830329247777,ADJ
section,41.58327325162221,N
plane,41.58399423215573,N
bomb,41.58471521268926,N
bay,41.584955539533766,N
beseeched,41.5859168469118,VN
intercom,41.586878154289835,N
help,41.58735880797885,V
gunner,41.58783946166787,N
please,41.588079788512374,N
flak,41.606104301850515,N
helmet,41.60634462869503,N
parachute,41.606825282384044,N
harness,41.60706560922855,N
mae,41.60778658976208,N
west,41.60802691660658,N
far,41.6085075702956,ADV
away,41.60874789714011,ADV
floor,41.609468877673635,N
lay,41.60970920451815,N
small,41.610189858207164,ADJ
tailgunner,41.61043018505167,N
dead,41.6111511655852,ADJ
faint,41.6113914924297,N
wound,41.61187214611872,N
saw,41.61235279980774,VD
outside,41.61331410718577,N
snowdens,41.61379476087479,N
thigh,41.6140350877193,P
large,41.61451574140832,ADJ
deep,41.614996395097336,V
football,41.61571737563086,N
seemed,41.616198029319875,VD
impossible,41.6169190098534,ADJ
tell,41.617399663542415,V
shreds,41.618120644075944,N
case,41.62869502523432,N
replaced,41.62917567892334,VD
cleanly,41.62989665945686,ADV
lettered,41.63013698630137,VN
note,41.63037731314588,N
whats,41.6310982936794,N
good,41.63133862052391,ADJ
m,41.63181927421293,N
m,41.632059601057435,N
enterprises,41.63229992790195,N
good,41.632780581590964,ADJ
country,41.633501562124486,N
minderbinder,41.633982215813504,N
swore,41.63446286950252,N
held,41.635424176880555,VD
two,41.63566450372507,NUM
aspirins,41.63590483056957,N
ashen,41.6366258111031,V
lips,41.63686613794761,N
unable,41.63710646479212,ADJ
receive,41.637587118481136,V
first,41.63830809901466,ADV
hastily,41.638788752703675,ADV
drew,41.63902907954819,VD
tourniquet,41.639509733237205,N
around,41.63975006008171,P
snowdens,41.63999038692622,N
thigh,41.64023071377073,V
must,41.646238884883445,MOD
act,41.64647921172795,V
competently,41.646719538572455,ADV
feared,41.64768084595049,VD
might,41.64816149963951,MOD
go,41.64840182648402,V
pieces,41.648882480173036,N
completely,41.64912280701754,ADV
watched,41.64960346070656,VN
steadily,41.650084114395575,ADV
saying,41.65032444124009,VG
nothing,41.65056476808459,N
artery,41.65104542177361,N
spurting,41.65152607546263,VG
pretended,41.652247055996156,VN
absorb,41.65272770968517,V
entirely,41.65320836337419,ADV
fashioning,41.65392934390771,N
tourniquet,41.65465032444124,N
applying,41.65513097813026,VG
tourniquet,41.655611631819276,N
something,41.656092285508294,N
know,41.656813266041816,V
worked,41.65801490026436,VD
proceed,41.66834895457823,V
rummaged,41.668829608267245,VD
firstaid,41.66955058880077,N
kit,41.66979091564528,N
scissors,41.6702715693343,N
cold,41.670752223023314,ADJ
softly,41.671473203556836,ADV
cold,41.67195385724585,N
going,41.67243451093487,VG
right,41.673395818312905,ADV
kid,41.67363614515742,ADJ
reassured,41.674116798846434,VD
grin,41.67507810622447,N
going,41.675558759913486,VG
right,41.67652006729152,ADV
cold,41.67700072098053,N
frail,41.67844268204758,N
childlike,41.678683008892094,N
voice,41.6789233357366,N
cold,41.679403989425616,VD
know,41.6815669310262,V
else,41.682047584715214,ADV
cold,41.683489545782265,ADJ
whimpered,41.68397019947128,VD
cold,41.6844508531603,N
frightened,41.686133141071856,VN
moved,41.68661379476087,VD
swiftly,41.68709444844989,ADV
found,41.68757510213891,VD
pair,41.688055755827925,N
scissors,41.68853640951694,N
last,41.68901706320596,ADJ
began,41.68949771689498,VD
cutting,41.68973804373949,VG
carefully,41.689978370583994,ADV
snowdens,41.69045902427301,N
